pair,date,high,low,open,close,volume
USDT_BTC,1609135200,27100,26830,26942.62,27057.63,63587000.67
USDT_BTC,1609138800,27200,27001.31,27056.15,27001.31,95675953.32
USDT_BTC,1609142400,27080,26705.41,27001.32,26937.88,96519185.33
USDT_BTC,1609146000,27000,26750.66,26936.25,26835.83,69234894.19
USDT_BTC,1609149600,26922.28,26557.73,26835.84,26720.58,93918763.69
USDT_BTC,1609153200,26889.71,26609.51,26720.02,26859.07,73042646.3
USDT_BTC,1609156800,27145.27,26711.57,26859.07,27097.28,107985719
USDT_BTC,1609160400,27500,27097.27,27097.27,27249.22,155991278.7
USDT_BTC,1609164000,27355,27130.02,27249.22,27276.11,88508047.4
USDT_BTC,1609167600,27320,26830.16,27276.13,26916.32,114036883.4
USDT_BTC,1609171200,27157.31,26743,26916.32,27066.44,101672013.3
USDT_BTC,1609174800,27236.71,27021.21,27066.43,27140.96,61700220.28
USDT_BTC,1609178400,27228.53,26898,27140.89,27023.55,77306204.27
USDT_BTC,1609182000,27196.09,26945.39,27022.83,26996.74,65211485.73
USDT_BTC,1609185600,27098.38,26678,26996.73,26866.97,98188279.8
USDT_BTC,1609189200,26958.64,26620.4,26866.97,26627.3,60999372.31
USDT_BTC,1609192800,26940.95,26415.09,26627.31,26891.69,92603735.82
USDT_BTC,1609196400,27163.77,26836.01,26891.69,27079.41,74875983.99
USDT_BTC,1609200000,27116.78,26758.88,27079.42,26811.29,69904213.7
USDT_BTC,1609203600,26857.01,26636.92,26811.27,26830.53,64849249.47
USDT_BTC,1609207200,26949.07,26727.25,26829.64,26858.37,38167370.27
USDT_BTC,1609210800,26863.07,26433.78,26858.37,26444.6,87716374.15
USDT_BTC,1609214400,26583.65,26203,26445.5,26487.62,105947918.4
USDT_BTC,1609218000,26492,25880,26489.07,26452.18,136920208.9
USDT_BTC,1609221600,26533.3,26264.52,26452.4,26356.22,65994608.64
USDT_BTC,1609225200,26462.94,26145.46,26356.23,26435.63,49789849.62
USDT_BTC,1609228800,26765.35,26434.49,26436.53,26660.36,80759528.9
USDT_BTC,1609232400,26745,26521.14,26660.6,26590.6,55896573.11
USDT_BTC,1609236000,26860,26586.43,26586.94,26741.03,65925466.13
USDT_BTC,1609239600,26900,26565.13,26741.04,26876.4,67471175.22
USDT_BTC,1609243200,27100,26858.51,26874.55,26893.22,99357694.99
USDT_BTC,1609246800,26977.16,26730,26893.22,26880,55126091.54
USDT_BTC,1609250400,26902.22,26600.65,26880.01,26664.49,69240437.74
USDT_BTC,1609254000,26734.4,26433,26664.49,26614.97,71097824.01
